REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.97,0.288889,195.646387,0.132194,0.230187
0.96,0.044444,256.193193,0.152183,0.170986
0.96,0.622222,26.685771,0.098775,0.183281
0.97,0.488889,107.054333,0.03915,0.489599
0.97,0.466667,0.0,0.089507,0.225325
0.965,0.377778,187.470716,0.148175,0.130366
0.965,0.422222,65.596739,0.045306,0.50162
0.96,0.044444,277.995922,0.140916,0.048817
0.97,0.266667,189.907473,0.288348,0.527519
0.965,0.377778,117.535499,0.079319,0.20016
0.95,0.088889,0.0,0.087667,0.088905
0.91,0.088889,0.0,0.019859,0.366654
0.96,0.244444,0.0,0.044434,0.189755
0.98,0.444444,186.083739,0.164056,0.156885
0.975,0.466667,116.016992,0.077123,0.273314
0.915,0.044444,65.596739,0.060621,0.098034
0.97,0.377778,197.363989,0.088213,0.379513
0.9,0.022222,0.0,0.009366,0.674273
0.92,0.066667,83.268662,0.110779,0.059371
0.975,0.4,279.828047,0.106693,0.157411
0.935,0.0,80.169082,0.150079,0.069491
0.95,0.066667,0.0,0.067644,0.113853
0.935,0.044444,0.0,0.080058,0.089286
0.96,0.044444,242.601504,0.177068,0.039058
0.97,0.533333,71.61196,0.033038,0.514554
0.955,0.088889,180.51984,0.059529,0.435323
0.9,0.0,0.0,0.095668,0.066127
0.97,0.333333,160.756929,0.075649,0.262019
0.935,0.044444,0.0,0.09764,0.077908
0.96,0.266667,0.0,0.046043,0.156906
0.935,0.066667,83.268662,0.113037,0.058087
0.975,0.288889,291.487782,0.100589,0.144335
0.94,0.022222,105.253715,0.092055,0.097412
0.97,0.177778,239.029658,0.159989,0.162209
0.92,0.088889,0.0,0.022652,0.366174
0.95,0.044444,102.583967,0.094967,0.142209
0.92,0.022222,101.501757,0.047628,0.245261
0.94,0.022222,126.585193,0.117622,0.114816
0.98,0.444444,184.201293,0.080555,0.32912
0.96,0.066667,230.628562,0.107522,0.066785
0.96,0.044444,241.024639,0.101382,0.064603
0.965,0.177778,202.6725,0.074591,0.190997
0.965,0.422222,122.394249,0.050715,0.466146
0.96,0.488889,0.0,0.088199,0.371108
0.955,0.222222,0.0,0.020398,0.431953
0.98,0.533333,184.969138,0.099701,0.199747
0.97,0.311111,184.969138,0.096632,0.462253
0.935,0.0,65.560911,0.154176,0.060005
0.935,0.0,124.662807,0.081652,0.037456
0.945,0.0,157.638558,0.084182,0.038437
0.925,0.088889,0.0,0.069853,0.083556
0.96,0.044444,241.024639,0.091849,0.149821
0.965,0.444444,122.659902,0.066772,0.30955
0.97,0.333333,71.61196,0.145981,0.169523
0.96,0.088889,221.087945,0.092472,0.057038
0.935,0.0,116.016992,0.10234,0.016463
0.975,0.422222,189.254688,0.086175,0.254241
0.98,0.488889,177.528149,0.058122,0.311795
0.955,0.444444,0.0,0.000115,0.506981
0.975,0.533333,265.737746,0.119301,0.148445
0.95,0.022222,177.528149,0.081902,0.301561
0.955,0.111111,132.791836,0.079873,0.077429
0.98,0.444444,289.959557,0.092221,0.195011
0.955,0.111111,0.0,0.079449,0.099966
0.94,0.0,122.965282,0.137586,0.068608
0.955,0.155556,71.61196,0.058178,0.42365
0.935,0.066667,115.42984,0.069005,0.097246
0.955,0.177778,254.339789,0.095384,0.137301
0.975,0.311111,285.384902,0.114163,0.125553
0.93,0.0,105.253715,0.08865,0.135219
0.97,0.333333,127.880307,0.096204,0.476213
0.935,0.066667,126.585193,0.084521,0.039256
0.955,0.088889,115.42984,0.058649,0.15793
0.95,0.0,143.713616,0.175955,0.089757
