Watertown,Dryville,Fallsland,Regional
0.63,0.695,0.575,0.545
0.62,0.555,0.56,0.545
0.605,0.39,0.465,0.38
0.585,0.365,0.435,0.355
0.555,0.42,0.44,0.405
0.67,0.465,0.41,0.37
0.615,0.655,0.56,0.545
0.615,0.655,0.585,0.525
0.62,0.415,0.465,0.37
0.605,0.63,0.575,0.57
0.565,0.675,0.555,0.54
0.62,0.545,0.575,0.53
0.525,0.545,0.56,0.515
0.64,0.61,0.585,0.57
0.665,0.635,0.55,0.545
0.595,0.58,0.56,0.555
0.635,0.56,0.55,0.54
0.62,0.585,0.55,0.545
0.6,0.545,0.58,0.545
0.6,0.665,0.56,0.55
0.67,0.535,0.45,0.415
0.615,0.435,0.45,0.39
0.59,0.37,0.41,0.345
0.63,0.405,0.47,0.36
0.565,0.535,0.56,0.535
0.625,0.41,0.47,0.36
0.635,0.45,0.495,0.45
0.665,0.515,0.455,0.41
0.675,0.535,0.45,0.415
0.615,0.725,0.58,0.55
0.49,0.39,0.465,0.37
0.615,0.415,0.47,0.37
0.595,0.56,0.555,0.54
0.58,0.56,0.555,0.54
0.57,0.425,0.445,0.415
0.66,0.61,0.58,0.575
0.505,0.545,0.555,0.505
0.58,0.435,0.47,0.425
0.52,0.555,0.555,0.505
0.66,0.77,0.61,0.61
0.63,0.46,0.56,0.435
0.615,0.58,0.57,0.505
0.665,0.645,0.555,0.54
0.665,0.51,0.56,0.46
0.64,0.565,0.55,0.54
0.625,0.695,0.605,0.575
0.58,0.645,0.58,0.55
0.665,0.655,0.49,0.485
0.625,0.39,0.47,0.36
0.645,0.54,0.56,0.535
0.65,0.38,0.455,0.36
0.67,0.49,0.435,0.39
0.61,0.415,0.47,0.37
0.63,0.38,0.47,0.375
0.62,0.62,0.59,0.555
0.62,0.57,0.56,0.545
0.5,0.41,0.485,0.41
0.605,0.62,0.435,0.435
0.655,0.66,0.565,0.55
0.66,0.745,0.49,0.49
0.615,0.545,0.555,0.545
0.525,0.545,0.555,0.515
0.635,0.645,0.58,0.555
0.545,0.52,0.465,0.465
0.64,0.61,0.58,0.575
0.67,0.49,0.455,0.4
0.57,0.62,0.56,0.545
0.625,0.42,0.475,0.38
0.615,0.57,0.575,0.56
0.645,0.6,0.49,0.485
0.665,0.75,0.49,0.49
0.495,0.38,0.465,0.365
0.635,0.45,0.495,0.45
0.625,0.45,0.455,0.405
0.49,0.415,0.465,0.37
0.65,0.44,0.56,0.44
0.625,0.455,0.56,0.455
0.615,0.595,0.58,0.565
0.615,0.67,0.58,0.545
0.675,0.57,0.44,0.44
0.605,0.45,0.445,0.43
0.615,0.565,0.56,0.555
0.615,0.45,0.485,0.44
0.615,0.6,0.58,0.57
0.635,0.465,0.455,0.41
0.665,0.695,0.575,0.56
0.62,0.57,0.49,0.485
0.66,0.71,0.585,0.57
0.645,0.675,0.465,0.46
0.625,0.385,0.465,0.37
0.6,0.37,0.465,0.36
0.665,0.565,0.55,0.54
0.59,0.385,0.49,0.385
0.585,0.605,0.575,0.555
0.505,0.505,0.56,0.485
0.615,0.545,0.49,0.485
0.655,0.5,0.56,0.46
0.635,0.675,0.605,0.575
0.665,0.57,0.49,0.485
0.66,0.555,0.525,0.52
0.62,0.57,0.56,0.545
0.635,0.53,0.46,0.44
0.64,0.445,0.56,0.445
0.535,0.365,0.465,0.36
0.665,0.66,0.575,0.56
0.605,0.415,0.42,0.375
0.605,0.575,0.57,0.545
0.48,0.445,0.46,0.425
0.515,0.525,0.49,0.48
0.655,0.63,0.56,0.545
0.495,0.545,0.555,0.495
0.485,0.365,0.405,0.34
0.6,0.675,0.59,0.54
0.61,0.48,0.58,0.48
0.635,0.44,0.56,0.44
